"SYMBOL","OPEN","HIGH","LOW","PREV_CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME_TRADED","VALUE (₹ Crores)","52W H","52W L","30 D   %CHNG","365 D % CHNG 15-Apr-2024"
"NIFTY 50","23,344.10","23,452.20","23,273.05","23,328.55","23,437.20","-","108.65","0.47","34,84,24,960","28,102.21","26,277.35","21,281.45","4.16","4.74"
"INDUSINDBK","747.00","794.40","733.00","735.90","785.50","-","49.60","6.74","3,12,52,589","2,412.42","1,557.90","606.00","9.45","-52.21"
"AXISBANK","1,122.70","1,163.50","1,112.60","1,112.80","1,161.00","-","48.20","4.33","1,28,36,428","1,475.48","1,339.65","933.50","10.16","5.18"
"ONGC","232.69","242.00","231.72","232.69","240.84","-","8.15","3.50","1,87,48,952","444.91","345.00","205.00","3.22","-16.85"
"TRENT","4,922.00","5,049.50","4,852.00","4,877.00","5,042.00","-","165.00","3.38","15,89,998","792.69","8,345.00","3,912.40","-2.90","22.87"
"ADANIPORTS","1,210.00","1,235.50","1,201.60","1,210.80","1,235.50","-","24.70","2.04","19,09,731","232.59","1,621.40","995.65","8.18","-7.96"
"HDFCLIFE","700.20","721.35","700.20","704.70","717.00","-","12.30","1.75","34,52,538","247.03","761.20","511.40","13.22","14.97"
"ASIANPAINT","2,405.10","2,468.50","2,403.70","2,415.70","2,456.00","-","40.30","1.67","11,66,700","285.96","3,394.90","2,124.75","8.26","-15.07"
"JIOFIN","239.05","242.75","237.26","238.57","242.30","-","3.73","1.56","2,77,20,767","668.71","394.70","198.65","7.17","-32.66"
"APOLLOHOSP","6,870.00","7,034.50","6,865.00","6,905.00","7,010.00","-","105.00","1.52","6,21,996","434.31","7,545.35","5,693.20","13.09","9.55"
"WIPRO","244.00","248.45","241.20","244.00","247.60","-","3.60","1.48","1,62,03,319","397.39","324.60","208.50","-7.58","-46.88"
"EICHERMOT","5,549.00","5,630.00","5,539.00","5,529.00","5,600.00","-","71.00","1.28","7,34,279","411.15","5,630.00","4,193.75","10.24","31.04"
"BHARTIARTL","1,802.40","1,826.50","1,794.10","1,798.80","1,821.00","-","22.20","1.23","61,80,958","1,119.09","1,826.50","1,210.35","10.19","46.89"
"COALINDIA","395.25","400.10","392.50","395.25","399.80","-","4.55","1.15","49,92,290","198.14","543.55","349.25","4.48","-12.36"
"SBIN","763.50","774.75","760.50","763.50","772.15","-","8.65","1.13","1,25,36,694","964.41","912.00","680.00","4.90","0.79"
"CIPLA","1,467.10","1,499.00","1,464.40","1,481.80","1,498.00","-","16.20","1.09","10,23,697","152.54","1,702.05","1,317.25","1.36","7.27"
"ITC","418.00","426.05","418.00","420.40","424.90","-","4.50","1.07","1,30,34,594","551.74","528.50","390.15","2.03","-1.29"
"TCS","3,248.20","3,278.10","3,229.00","3,248.20","3,274.00","-","25.80","0.79","23,84,391","777.53","4,592.25","3,056.05","-7.49","-17.58"
"NESTLEIND","2,347.00","2,390.10","2,347.00","2,367.90","2,382.00","-","14.10","0.60","6,77,212","160.89","2,778.00","2,110.00","8.03","-7.27"
"HDFCBANK","1,883.80","1,883.80","1,860.50","1,864.90","1,875.90","-","11.00","0.59","95,68,410","1,793.26","1,883.80","1,426.80","9.28","24.77"
"ICICIBANK","1,357.00","1,359.70","1,342.90","1,350.20","1,358.00","-","7.80","0.58","1,40,39,073","1,895.89","1,373.00","1,048.10","8.01","25.21"
"HCLTECH","1,415.00","1,436.10","1,405.50","1,426.50","1,434.00","-","7.50","0.53","25,53,111","363.65","2,012.20","1,235.00","-7.05","-5.22"
"TATASTEEL","136.41","137.60","134.62","136.41","137.10","-","0.69","0.51","4,26,84,087","579.91","184.60","122.62","-9.59","-15.19"
"TECHM","1,292.00","1,314.60","1,283.50","1,301.70","1,308.10","-","6.40","0.49","10,93,342","142.20","1,807.70","1,162.95","-9.64","6.81"
"SHRIRAMFIN","672.65","678.00","662.45","672.00","675.00","-","3.00","0.45","65,71,065","441.40","730.45","438.60","8.47","-72.17"
"POWERGRID","304.45","307.00","302.80","304.55","305.50","-","0.95","0.31","70,32,401","214.87","366.25","247.30","13.79","11.13"
"TATACONSUM","1,094.10","1,108.90","1,086.80","1,103.40","1,106.00","-","2.60","0.24","6,79,360","74.73","1,250.10","882.90","16.63","-2.41"
"JSWSTEEL","1,003.00","1,015.10","992.10","1,008.00","1,010.10","-","2.10","0.21","12,81,034","128.31","1,074.90","823.80","0.68","17.15"
"ULTRACEMCO","11,667.00","11,827.00","11,667.00","11,719.00","11,741.00","-","22.00","0.19","2,68,150","315.31","12,145.35","9,250.00","12.12","23.28"
"BEL","293.50","295.35","291.30","293.70","294.10","-","0.40","0.14","1,24,79,078","365.94","340.50","221.00","4.87","25.27"
"HINDUNILVR","2,351.00","2,376.00","2,351.00","2,361.50","2,364.50","-","3.00","0.13","11,31,979","267.70","3,035.00","2,136.00","8.58","7.63"
"SBILIFE","1,548.50","1,576.80","1,548.50","1,562.60","1,564.50","-","1.90","0.12","7,84,495","122.81","1,936.00","1,307.70","12.78","6.52"
"KOTAKBANK","2,120.00","2,151.60","2,113.30","2,120.20","2,121.60","-","1.40","0.07","28,99,779","616.65","2,202.50","1,543.85","6.81","17.91"
"BAJAJFINSV","1,961.00","1,975.70","1,949.60","1,968.00","1,968.50","-","0.50","0.03","10,33,717","202.72","2,029.90","1,419.05","8.88","18.78"
"GRASIM","2,690.00","2,722.00","2,682.20","2,718.60","2,715.80","-","-2.80","-0.10","4,62,016","124.85","2,877.75","2,171.60","14.70","21.51"
"TITAN","3,250.00","3,286.00","3,245.10","3,273.40","3,269.70","-","-3.70","-0.11","8,89,943","290.87","3,867.00","2,925.00","8.75","-9.09"
"RELIANCE","1,234.10","1,240.90","1,229.00","1,240.10","1,238.00","-","-2.10","-0.17","82,48,464","1,019.18","1,608.80","1,114.85","-0.63","-57.67"
"ETERNAL","220.51","222.64","218.40","222.23","221.85","-","-0.38","-0.17","2,61,55,875","578.02","304.70","146.30","-","-"
"ADANIENT","2,400.00","2,428.00","2,382.90","2,418.20","2,414.10","-","-4.10","-0.17","8,89,949","214.04","3,743.90","2,025.00","8.87","-23.17"
"DRREDDY","1,150.20","1,161.40","1,143.70","1,154.90","1,150.90","-","-4.00","-0.35","14,51,875","167.50","1,421.49","1,020.00","4.24","-80.79"
"HEROMOTOCO","3,809.00","3,816.60","3,742.00","3,803.90","3,790.00","-","-13.90","-0.37","4,91,227","185.15","6,246.25","3,344.00","7.79","-13.18"
"M&M","2,660.00","2,665.00","2,618.30","2,646.00","2,632.20","-","-13.80","-0.52","30,70,954","809.51","3,270.95","1,998.20","0.09","28.86"
"BAJAJ-AUTO","7,999.00","7,999.50","7,864.50","7,995.50","7,947.00","-","-48.50","-0.61","2,94,161","232.92","12,774.00","7,089.35","6.54","-11.13"
"LT","3,270.00","3,276.80","3,224.10","3,257.60","3,231.40","-","-26.20","-0.80","15,78,260","512.67","3,963.50","2,965.30","2.21","-9.53"
"SUNPHARMA","1,691.10","1,702.70","1,682.10","1,705.00","1,691.00","-","-14.00","-0.82","22,05,374","372.66","1,960.35","1,377.20","1.28","10.71"
"BAJFINANCE","9,149.50","9,171.50","8,964.00","9,141.00","9,065.00","-","-76.00","-0.83","7,19,822","652.31","9,290.00","6,375.70","8.56","29.18"
"NTPC","362.50","363.00","357.90","362.50","359.35","-","-3.15","-0.87","1,15,41,484","415.67","448.45","292.80","9.22","0.37"
"INFY","1,425.00","1,427.50","1,396.80","1,426.00","1,412.20","-","-13.80","-0.97","1,20,22,740","1,695.05","2,006.45","1,307.00","-9.74","-2.87"
"TATAMOTORS","625.00","625.00","613.60","622.20","616.10","-","-6.10","-0.98","1,23,18,376","759.71","1,179.00","535.75","-5.08","-37.71"
"HINDALCO","618.15","619.35","602.00","617.60","609.65","-","-7.95","-1.29","44,47,732","270.66","772.65","546.45","-8.82","0.80"
"MARUTI","11,768.00","11,768.00","11,615.00","11,855.00","11,665.00","-","-190.00","-1.60","4,70,494","549.11","13,680.00","10,725.00","2.96","-4.57"